County,Year,Population
Ontario,1999,99802
Orange,1999,336630
Orleans,1999,44183
Oswego,1999,122199
Otsego,1999,61629
Putnam,1999,94647
Queens,1999,2208975
Rensselaer,1999,152392
Richmond,1999,437814
Rockland,1999,285265
St. Lawrence,1999,112202
Saratoga,1999,198641
Schenectady,1999,146857
Schoharie,1999,31537
Schuyler,1999,19117
Seneca,1999,33231
Steuben,1999,98458
Suffolk,1999,1406161
Sullivan,1999,73341
Tioga,1999,51892
Tompkins,1999,96656
Ulster,1999,176526
Warren,1999,63031
Washington,1999,61043
Wayne,1999,93790
Westchester,1999,918532
Wyoming,1999,43584
Yates,1999,24613
Albany,1998,295097
Allegany,1998,49991
Bronx,1998,1300823
Broome,1998,201072
Cattaraugus,1998,84519
Cayuga,1998,82497
Chautauqua,1998,140784
Chemung,1998,91791
Chenango,1998,51432
Clinton,1998,79926
Columbia,1998,63356
Cortland,1998,48755
Delaware,1998,47999
Dutchess,1998,273784
Erie,1998,956578
Essex,1998,38506
Franklin,1998,49620
Fulton,1998,54971
Genesee,1998,60877
Greene,1998,47771
Hamilton,1998,5296
Herkimer,1998,64909
Jefferson,1998,112546
Kings,1998,2422434
Lewis,1998,27072
Livingston,1998,63948
Madison,1998,69464
Monroe,1998,734076
Montgomery,1998,50321
Nassau,1998,1322950
New York,1998,1531067
Niagara,1998,221884
Oneida,1998,235710
Onondaga,1998,459882
Ontario,1998,99603
Orange,1998,332199
Orleans,1998,44167
Oswego,1998,122153
Otsego,1998,61379
Putnam,1998,93301
Queens,1998,2174983
Rensselaer,1998,153085
Richmond,1998,428952
Rockland,1998,282044
St. Lawrence,1998,112261
Saratoga,1998,196513
Schenectady,1998,147738
Schoharie,1998,31279
Schuyler,1998,19143
Seneca,1998,33184
Steuben,1998,98657
Suffolk,1998,1390729
Sullivan,1998,72974
Tioga,1998,52163
Tompkins,1998,96036
Ulster,1998,175085
Warren,1998,62585
Washington,1998,60851
Wayne,1998,93624
Westchester,1998,911628
Wyoming,1998,43527
Yates,1998,24355
Albany,1997,296187
Allegany,1997,50325
Bronx,1997,1285683
Broome,1997,202053
Cattaraugus,1997,84718
Cayuga,1997,82693
Chautauqua,1997,141531
Chemung,1997,92162
Chenango,1997,52017
Clinton,1997,80191
Columbia,1997,63505
Cortland,1997,48619
Delaware,1997,47878
Dutchess,1997,270935
Erie,1997,963040
Essex,1997,38646
Franklin,1997,49919
Fulton,1997,55102
Genesee,1997,61216
Greene,1997,47346
Hamilton,1997,5274
Herkimer,1997,65818
Jefferson,1997,113055
Kings,1997,2401148
Lewis,1997,27251
Livingston,1997,64217
Madison,1997,69554
Monroe,1997,734394
Montgomery,1997,50798
Nassau,1997,1318211
New York,1997,1527384
Niagara,1997,223135
Oneida,1997,236863
Onondaga,1997,462438
Ontario,1997,99693
Orange,1997,328860
Orleans,1997,44172
Oswego,1997,123237
Otsego,1997,61371
Putnam,1997,92139
Queens,1997,2138503
Rensselaer,1997,153653
Richmond,1997,420725
Rockland,1997,279082
St. Lawrence,1997,112867
Saratoga,1997,194757
Schenectady,1997,148557
Schoharie,1997,31557
Schuyler,1997,19023
Seneca,1997,33362
Steuben,1997,98907
Suffolk,1997,1377203
Sullivan,1997,72712
Tioga,1997,52160
Tompkins,1997,96216
Ulster,1997,174148
Warren,1997,62460
Washington,1997,60950
Wayne,1997,93282
Westchester,1997,905632
Wyoming,1997,43767
Yates,1997,24245
Albany,1996,297680
Allegany,1996,50869
Bronx,1996,1272693
Broome,1996,204415
Cattaraugus,1996,85284
Cayuga,1996,82846
Chautauqua,1996,142476
Chemung,1996,92972
Chenango,1996,52297
Clinton,1996,80440
Columbia,1996,63625
Cortland,1996,48726
Delaware,1996,48342
Dutchess,1996,268986
Erie,1996,970375
Essex,1996,38595
Franklin,1996,50179
Fulton,1996,55388
Genesee,1996,61288
Greene,1996,47170
Hamilton,1996,5354
Herkimer,1996,66454
Jefferson,1996,114585
Kings,1996,2383703
Lewis,1996,27357
Livingston,1996,64146
Madison,1996,70151
Monroe,1996,734257
Montgomery,1996,51305
Nassau,1996,1315799
New York,1996,1521415
Niagara,1996,223792
Oneida,1996,239246
Onondaga,1996,466614
Ontario,1996,99509
Orange,1996,326000
Orleans,1996,44435
Oswego,1996,123619
Otsego,1996,61584
Putnam,1996,90768
Queens,1996,2105520
Rensselaer,1996,154928
Richmond,1996,414481
